Model:	LI-7810
SN:	TG10-01146
Software Version:	2.0.25
Timestamp:	2022-12-15 12:00:00
Timezone:	America/Toronto
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1671123669	128222942	11247	0	2022-12-15	12:01:09	6015.02	478.391	2062.4	39.4582	55.001	25.1933	43.6563	0.00164132	12.2586	54.4998	-150	0.165925	15.7747	 79
DATA	1671123670	128222942	11251	0	2022-12-15	12:01:10	6016.4	479.272	2062.71	39.4586	55.001	25.1933	43.6561	0.00163274	12.2585	54.4998	-194.5	0.165551	15.7747	173
DATA	1671123671	127873897	11255	0	2022-12-15	12:01:11	6016.75	479.95	2062.52	39.459	55.001	25.1937	43.6556	0.00163842	12.258	54.4998	-281.75	0.165177	15.7743	164
DATA	1671123672	127873897	11259	0	2022-12-15	12:01:12	6018.3	480.336	2062.31	39.4594	55.001	25.1904	43.6556	0.00163015	12.2579	54.4998	-259.5	0.165177	15.7743	194
DATA	1671123673	127873897	11263	0	2022-12-15	12:01:13	6019.21	479.656	2062.41	39.459	55.0016	25.1883	43.6552	0.00163757	12.2581	54.4998	-47.5	0.165177	15.7739	216
DATA	1671123674	127873897	11267	0	2022-12-15	12:01:14	6020.52	479.367	2062.26	39.4598	55.0018	25.1896	43.6552	0.00164441	12.259	54.4998	-182	0.165177	15.7739	174
DATA	1671123675	127873897	11271	0	2022-12-15	12:01:15	6021.22	478.75	2062.34	39.4594	55.0014	25.1871	43.6554	0.0016339	12.2578	54.4998	-357.5	0.165177	15.7747	212
DATA	1671123676	127873897	11275	0	2022-12-15	12:01:16	6021.08	479.515	2062.38	39.4586	55.001	25.1838	43.6556	0.00164575	12.2578	54.4998	-269	0.165177	15.7747	185
DATA	1671123677	127873897	11279	0	2022-12-15	12:01:17	6022.48	477.375	2062.55	39.4606	55.001	25.1802	43.6556	0.00163152	12.2575	54.4998	-190.25	0.165177	15.7731	 47
DATA	1671123678	127873897	11283	0	2022-12-15	12:01:18	6022.84	480.244	2062.35	39.461	55.001	25.1802	43.6556	0.00163228	12.2582	54.4998	88	0.165177	15.7735	  4
DATA	1671123679	127506971	11287	0	2022-12-15	12:01:19	6022.73	479.579	2062.47	39.4606	55.001	25.1814	43.6556	0.00162919	12.258	54.4998	-16	0.165177	15.7743	 63
DATA	1671123680	127506971	11291	0	2022-12-15	12:01:20	6022.47	479.463	2062.39	39.461	55.0008	25.1826	43.6556	0.00164079	12.2589	54.4998	-116	0.165177	15.7743	146
DATA	1671123681	127506971	11295	0	2022-12-15	12:01:21	6023.54	480.291	2062.77	39.4602	55.0003	25.1814	43.6554	0.00163313	12.2585	54.4998	-127	0.165177	15.7735	172
DATA	1671123682	127506971	11299	0	2022-12-15	12:01:22	6023.1	481.12	2062.56	39.4598	55.0003	25.1814	43.6554	0.00163389	12.2582	54.4998	-209.75	0.165177	15.7731	238
DATA	1671123683	127506971	11303	0	2022-12-15	12:01:23	6023.29	481.497	2062.63	39.4606	55.0003	25.1814	43.6556	0.00163214	12.2577	54.4998	-269.75	0.165177	15.7728	 86
DATA	1671123684	127506971	11307	0	2022-12-15	12:01:24	6024.87	482.495	2062.68	39.4602	55.0003	25.1806	43.6556	0.00163513	12.2575	54.5004	-139	0.165177	15.7728	175
DATA	1671123685	127506971	11311	0	2022-12-15	12:01:25	6025.18	479.959	2062.62	39.4602	55.0003	25.1802	43.6556	0.0016312	12.2585	54.5005	-199.5	0.165177	15.7728	221
DATA	1671123686	127166032	11315	0	2022-12-15	12:01:26	6027.01	480.053	2062.94	39.4598	55.0003	25.1781	43.6556	0.00163123	12.2584	54.5005	-303.25	0.165177	15.7731	 38
DATA	1671123687	127166032	11319	0	2022-12-15	12:01:27	6027.94	481.303	2062.56	39.461	55.0003	25.1781	43.6556	0.00163378	12.258	54.5005	-261	0.165177	15.7728	 66
DATA	1671123688	127166032	11323	0	2022-12-15	12:01:28	6028.19	480.111	2062.67	39.4602	55.0003	25.1777	43.6556	0.00163483	12.2585	54.5005	-230.75	0.165177	15.7728	 57
DATA	1671123689	127166032	11327	0	2022-12-15	12:01:29	6028.86	478.339	2062.85	39.4606	55.0003	25.1761	43.6556	0.00164093	12.2588	54.5005	-284.75	0.165177	15.7728	 93
