Model:	LI-7810
SN:	TG10-01071
Software Version:	2.1.35
Timestamp:	2022-11-09 15:36:42
Timezone:	Canada/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1668026310	62673091	459	256	""	2022-11-09	15:38:30	nan	nan	nan	98.4038	22.7165	98.9008	47.2143	0	0	23.4427	-16000	0	15.7586	115
DATA	1668026311	62357902	463	256	""	2022-11-09	15:38:31	nan	nan	nan	98.4038	22.74	98.8996	47.2145	0	0	23.4639	-16000	0	15.7535	 24
DATA	1668026312	62357902	467	256	""	2022-11-09	15:38:32	nan	nan	nan	98.4043	22.763	98.9004	47.215	0	0	23.4839	-16000	0	15.7524	  8
DATA	1668026313	62357902	471	256	""	2022-11-09	15:38:33	nan	nan	nan	98.4047	22.7859	98.9	47.2154	0	0	23.5044	-16000	0	15.7512	216
DATA	1668026314	62357902	475	256	""	2022-11-09	15:38:34	nan	nan	nan	98.403	22.8077	98.8984	47.2158	0	0	23.5239	-16000	0	15.7488	 89
DATA	1668026315	62357902	479	256	""	2022-11-09	15:38:35	nan	nan	nan	98.4026	22.8294	98.8975	47.2163	0	0	23.543	-16000	0	15.7469	 89
DATA	1668026316	62357902	483	256	""	2022-11-09	15:38:36	nan	nan	nan	98.4034	22.852	98.8971	47.2165	0	0	23.5635	-16000	0	15.7461	 74
DATA	1668026317	62357902	487	256	""	2022-11-09	15:38:37	nan	nan	nan	98.403	22.8744	98.8979	47.2172	0	0	23.5838	-16000	0	15.7453	 96
DATA	1668026318	62041044	491	256	""	2022-11-09	15:38:38	nan	nan	nan	98.401	22.8969	98.8963	47.2176	0	0	23.604	-16000	0	15.7445	 23
DATA	1668026319	62041044	495	256	""	2022-11-09	15:38:39	nan	nan	nan	98.401	22.9195	98.8947	47.218	0	0	23.6245	-16000	0	15.7437	 26
DATA	1668026320	62041044	499	256	""	2022-11-09	15:38:40	nan	nan	nan	98.4006	22.9417	98.8947	47.2183	0	0	23.6453	-16000	0	15.7425	113
DATA	1668026321	62041044	503	256	""	2022-11-09	15:38:41	nan	nan	nan	98.401	22.9639	98.8951	47.2187	0	0	23.6652	-16000	0	15.7418	 56
DATA	1668026322	62041044	507	256	""	2022-11-09	15:38:42	nan	nan	nan	98.401	22.9861	98.8955	47.2194	0	0	23.6854	-16000	0	15.7406	 62
DATA	1668026323	62041044	511	256	""	2022-11-09	15:38:43	nan	nan	nan	98.401	23.0064	98.8947	47.2196	0	0	23.7038	-16000	0	15.7437	 48
DATA	1668026323	812041044	514	256	""	2022-11-09	15:38:43	nan	nan	nan	98.401	23.0282	98.8947	47.2202	0	0	23.7241	-16000	0	15.7449	 91
DATA	1668026324	812041044	518	256	""	2022-11-09	15:38:44	nan	nan	nan	98.401	23.0501	98.8951	47.2204	0	0	23.7443	-16000	0	15.7492	 90
DATA	1668026326	61728954	523	256	""	2022-11-09	15:38:46	nan	nan	nan	98.4006	23.0723	98.8951	47.2209	0	0	23.7643	-16000	0	15.7437	125
DATA	1668026326	561728954	525	256	""	2022-11-09	15:38:46	nan	nan	nan	98.4014	23.0943	98.8951	47.2215	0	0	23.7844	-16000	0	15.7425	180
DATA	1668026328	61728954	531	256	""	2022-11-09	15:38:48	nan	nan	nan	98.401	23.1164	98.8947	47.2216	0	0	23.8053	-16000	0	15.7476	 77
DATA	1668026328	811728954	534	256	""	2022-11-09	15:38:48	nan	nan	nan	98.4014	23.1381	98.8947	47.2224	0	0	23.8256	-16000	0	15.7422	179
DATA	1668026330	61728954	539	256	""	2022-11-09	15:38:50	nan	nan	nan	98.4022	23.1597	98.8947	47.2226	0	0	23.8455	-16000	0	15.7461	133
DATA	1668026331	61728954	543	256	""	2022-11-09	15:38:51	nan	nan	nan	98.401	23.1803	98.8955	47.2231	0	0	23.8648	-16000	0	15.7386	 74
DATA	1668026332	61728954	547	256	""	2022-11-09	15:38:52	nan	nan	nan	98.4018	23.2009	98.8951	47.2235	0	0	23.884	-16000	0	15.7374	 78
DATA	1668026333	61418056	551	256	""	2022-11-09	15:38:53	nan	nan	nan	98.4014	23.2223	98.8947	47.2239	0	0	23.9039	-16000	0	15.7374	116
DATA	1668026334	61418056	555	256	""	2022-11-09	15:38:54	nan	nan	nan	98.4022	23.2438	98.8955	47.2244	0	0	23.9243	-16000	0	15.7367	123
DATA	1668026334	811418056	558	256	""	2022-11-09	15:38:54	nan	nan	nan	98.4022	23.2652	98.8955	47.2246	0	0	23.9445	-16000	0	15.7363	177
DATA	1668026336	61418056	563	256	""	2022-11-09	15:38:56	nan	nan	nan	98.4018	23.2871	98.8959	47.2253	0	0	23.9644	-16000	0	15.7441	134
DATA	1668026337	61418056	567	256	""	2022-11-09	15:38:57	nan	nan	nan	98.4034	23.3086	98.8955	47.2255	0	0	23.985	-16000	0	15.7355	 90
DATA	1668026338	61418056	571	256	""	2022-11-09	15:38:58	nan	nan	nan	98.4026	23.3296	98.8959	47.2261	0	0	24.0049	-16000	0	15.7351	128
DATA	1668026338	811418056	574	256	""	2022-11-09	15:38:58	nan	nan	nan	98.4026	23.3509	98.8947	47.2266	0	0	24.0249	-16000	0	15.7347	188
DATA	1668026340	61418056	579	256	""	2022-11-09	15:39:00	nan	nan	nan	98.4018	23.37	98.8939	47.227	0	0	24.0431	-16000	0	15.7425	215
DATA	1668026341	61114072	583	256	""	2022-11-09	15:39:01	nan	nan	nan	98.4014	23.3911	98.8951	47.2275	0	0	24.0631	-16000	0	15.7378	 99
DATA	1668026342	61114072	587	256	""	2022-11-09	15:39:02	nan	nan	nan	98.401	23.4121	98.8939	47.2277	0	0	24.0832	-16000	0	15.7359	 57
DATA	1668026343	61114072	591	256	""	2022-11-09	15:39:03	nan	nan	nan	98.4014	23.4332	98.8935	47.2283	0	0	24.103	-16000	0	15.7351	 38
DATA	1668026344	61114072	595	256	""	2022-11-09	15:39:04	nan	nan	nan	98.401	23.4548	98.893	47.2286	0	0	24.1232	-16000	0	15.7347	  8
DATA	1668026345	61114072	599	256	""	2022-11-09	15:39:05	nan	nan	nan	98.4018	23.4758	98.8935	47.229	0	0	24.1436	-16000	0	15.7343	 75
DATA	1668026346	61114072	603	256	""	2022-11-09	15:39:06	nan	nan	nan	98.4006	23.4967	98.8926	47.229	0	0	24.164	-16000	0	15.7339	 16
DATA	1668026347	61114072	607	256	""	2022-11-09	15:39:07	nan	nan	nan	98.4018	23.5175	98.8935	47.229	0	0	24.184	-16000	0	15.7327	 16
DATA	1668026348	60811996	611	256	""	2022-11-09	15:39:08	nan	nan	nan	98.4022	23.5365	98.8926	47.229	0	0	24.2021	-16000	0	15.7296	 72
DATA	1668026349	60811996	615	256	""	2022-11-09	15:39:09	nan	nan	nan	98.403	23.5571	98.893	47.229	0	0	24.2221	-16000	0	15.7288	234
DATA	1668026350	60811996	619	256	""	2022-11-09	15:39:10	nan	nan	nan	98.4026	23.5778	98.8939	47.229	0	0	24.242	-16000	0	15.728	238
DATA	1668026351	60811996	623	256	""	2022-11-09	15:39:11	nan	nan	nan	98.4022	23.5985	98.8939	47.229	0	0	24.262	-16000	0	15.7276	 30
